TICID,SECTOR,RA_OBJ,DEC_OBJ,EQUINOX,PMRA,PMDEC,PMTOTAL,TESSMAG,TEFF,LOGG,MH,RADIUS
33734823,13,62.030134,-77.370426,2000.0,-15.7732,12.5986,20.18708895,10.55099964,5645.0,4.37056017,nan,1.08197999
33864553,13,65.107752,-72.254254,2000.0,1.98793,33.3293,33.38853253,11.39900017,5521.49023438,4.48644018,-0.233675,0.90406197
38461760,13,61.240264,-65.745358,2000.0,-4.80954,-13.7058,14.52517224,11.50500011,5813.0,4.53024006,nan,0.91992599
38462522,13,61.414393,-63.741103,2000.0,16.219,3.09455,16.51157778,11.9829998,5777.68017578,4.48807001,0.187317,0.97427303
38469670,13,61.839845,-64.222374,2000.0,210.946,327.532,389.58365718,5.75500011,5794.37988281,4.34571981,-0.074747,1.07214999
38516338,13,62.639295,-65.569386,2000.0,95.679,33.3429,101.32235697,10.69699955,5603.0,4.52057981,nan,0.90556097
38572209,13,63.397123,-63.900553,2000.0,25.484,16.2536,30.22604455,10.80900002,5815.27978516,4.12082005,-0.0757445,1.09783995
38587275,13,64.161582,-64.553611,2000.0,-9.19582,4.50352,10.23937488,11.14400005,5937.18017578,4.34189987,-0.0973689,0.91361701
38634087,13,64.975041,-62.764262,2000.0,38.5385,28.9832,48.22076176,11.10599995,5645.10009766,4.40489006,0.0483579,1.00226998
38680567,13,65.53141,-62.938512,2000.0,12.9239,29.2823,32.00750357,11.31400013,5781.0,4.45917988,nan,0.99408603
38707757,13,66.55809,-61.731857,2000.0,-21.3926,0.869354,21.41025715,9.59599972,5648.0,4.38961983,nan,1.0589
38711022,13,66.830124,-60.811496,2000.0,14.3896,15.619,21.23708429,11.58699989,5532.83984375,4.52122021,0.18369199,0.90376401
38843381,13,68.687668,-64.080993,2000.0,46.1005,47.9083,66.48654984,11.06400013,5594.0,4.42261982,nan,1.01251996
38844454,13,68.632826,-61.217818,2000.0,51.1336,47.7531,69.96430239,10.25300026,6083.0,4.50773001,nan,0.98556501
38845575,13,68.899904,-61.662254,2000.0,10.9563,68.907,69.77259604,10.22099972,5825.10009766,4.15999985,0.01,1.07044995
40277178,13,76.975298,-67.697642,2000.0,5.1,-31.0,31.4167153,10.91100025,5658.0,4.3680501,nan,1.08687997
41029133,13,90.236967,-70.311758,2000.0,-0.954295,-40.3783,40.38957526,10.3920002,5893.0,4.45530987,nan,1.01425004
41088155,13,90.6459,-69.011405,2000.0,-15.2461,26.0311,30.16722945,12.29399967,5675.0,4.36477995,nan,1.09331
41170928,13,91.216873,-67.70082,2000.0,-13.1582,27.6699,30.63921659,9.47599983,5938.0,4.43994999,nan,1.03947997
41337760,13,92.627233,-67.464597,2000.0,-2.24522,7.90044,8.2132798,8.72900009,5632.0,nan,nan,1.07709002
49056241,13,270.973782,-49.059488,2000.0,10.1061,-17.9497,20.59915016,12.01900005,5922.0,4.48999977,-0.67000002,0.91261798
55368457,13,77.185973,-60.375381,2000.0,nan,nan,nan,11.06799984,5631.0,4.37327003,nan,1.07672
55387901,13,77.607569,-64.271924,2000.0,-23.0964,-45.8164,51.30873417,11.18700027,6013.12011719,4.31139994,-0.55812401,1.09034002
55401857,13,77.869435,-61.100858,2000.0,-7.76897,11.9491,14.25264487,11.20699978,5500.20019531,3.77999997,-1.00999999,1.02734995
55452918,13,70.543406,-65.765625,2000.0,-17.9941,-25.0751,30.86338081,11.12300014,5583.0,4.41428995,nan,1.02084994
55476866,13,71.051172,-60.659725,2000.0,9.09432,-22.5561,24.32045031,11.14099979,5897.0,4.45773983,nan,1.01201999
55780996,13,75.483993,-60.512127,2000.0,86.6239,45.1709,97.69396224,9.68500042,5529.0,4.41277981,nan,1.01549995
55781680,13,75.40499,-62.090198,2000.0,104.527,176.78,205.37054835,8.65200043,5535.75976563,4.36999989,-0.22,1.00390005
60094613,13,276.086774,-36.448979,2000.0,0.60065,-6.86887,6.89508198,8.30900002,5641.0,nan,nan,1.08047998
60897216,13,285.933003,-43.92354,2000.0,69.9,-49.52,85.66353016,9.89700031,5569.0,4.38547993,nan,1.05339003
61383493,13,287.680505,-47.298248,2000.0,-14.21,-55.02,56.82538605,9.5880003,5504.0,4.3986001,nan,1.02879
61458653,13,287.934097,-47.18797,2000.0,-12.6195,-5.6499,13.8265379,9.13199997,6000.0,4.41752005,nan,1.07756996
61849204,13,289.438785,-43.89305,2000.0,-22.6,-25.5,34.07359682,10.125,5621.0,4.37521982,nan,1.07296002
76522582,13,269.939802,-59.982378,2000.0,-46.37,-53.87,71.07850449,10.06299973,5620.0,4.37542009,nan,1.07257998
76618285,13,270.281139,-57.321944,2000.0,-27.9974,4.95448,28.4323984,10.25699997,5634.0,4.42765999,nan,1.01174998
79878550,13,296.691238,-44.049561,2000.0,23.368,-50.1109,55.29164243,9.90999985,5620.0,4.37542009,nan,1.07257998
79954773,13,297.327,-46.537289,2000.0,24.2651,-53.5309,58.77373846,10.19499969,6018.79980469,4.19999981,-0.08,1.09085
80093459,13,298.243525,-46.0163,2000.0,77.3917,-47.0451,90.5688504,9.22599983,6032.0,4.42812014,nan,1.07038999
80204687,13,298.678282,-45.262754,2000.0,29.9394,-157.015,159.8439173,9.31099987,5747.0,4.44371986,nan,1.00747001
80254878,13,298.898372,-47.065395,2000.0,-12.6481,-34.3268,36.58283247,9.63300037,5912.0,4.40860987,nan,1.07334006
90420656,13,276.579561,-46.155171,2000.0,29.6052,-22.8899,37.42212433,10.99499989,5651.0,4.51979017,nan,0.91186798
101617844,13,302.238607,-50.484636,2000.0,103.452,-160.741,191.15434964,9.42399979,5599.0,4.42970991,nan,1.00493002
101733944,13,303.243075,-48.272806,2000.0,14.5418,-29.2718,32.68489288,10.42099953,5768.10009766,4.05000019,-0.25999999,1.03787994
112405698,13,291.14836,-31.9249,2000.0,46.8667,-162.778,169.39056896,8.90299988,5862.0,4.54614019,nan,0.90943003
112616767,13,291.556409,-30.075923,2000.0,7.35178,-1.26025,7.45901463,10.15200043,5802.0,4.5468998,nan,0.90111101
113061349,13,292.761912,-32.930588,2000.0,13.593,9.453,16.5568372,10.37800026,5762.0,4.48124981,nan,0.96674001
113496667,13,293.565702,-32.567445,2000.0,-2.47687,-50.1267,50.18785648,10.12100029,5749.0,4.51420021,nan,0.92918998
113769637,13,294.210728,-33.049061,2000.0,-2.41083,-10.8867,11.15044117,10.09500027,5968.0,4.48916006,nan,0.98697698
113770787,13,294.260037,-33.879032,2000.0,60.3449,-75.364,96.54656624,10.0010004,6079.0,4.50096989,nan,0.99254602
118577898,13,273.397852,-59.750789,2000.0,-48.2604,-28.4742,56.03433121,10.13199997,5589.0,4.38150978,nan,1.06093001
118585488,13,273.358776,-55.317683,2000.0,13.9808,46.8191,48.86195753,10.24699974,5803.0,4.47681999,nan,0.97696298
118662417,13,273.445178,-54.513645,2000.0,-16.7806,31.8856,36.03165308,9.65100002,5979.0,4.55217981,nan,0.91957098
119285155,13,276.058581,-57.37273,2000.0,42.3,-30.95,52.41366711,9.64599991,5548.0,4.38967991,nan,1.04547
120064712,13,279.661696,-59.898629,2000.0,-7.3,28.6,29.51694429,9.94299984,5566.0,4.38607979,nan,1.05226004
120247528,13,280.184422,-58.459248,2000.0,-27.7575,-31.1905,41.75315672,11.52799988,5639.0,4.37171984,nan,1.07973003
128966660,13,301.233214,-44.226059,2000.0,37.2325,-36.0708,51.83976918,10.06400013,5606.29980469,3.3900001,-0.37,1.06333995
140579430,13,68.343996,-76.411296,2000.0,27.63,67.8,73.21377534,10.61999989,5610.0,4.37737989,nan,1.06882
140599056,13,69.156689,-76.595914,2000.0,-23.3522,-15.6171,28.09304286,10.77600002,5927.0,4.42214012,nan,1.05919003
